"","FuelModels.description","ros_fullcure","intensity_BTU_ft_fullcure","intensity_kW_m_fullcure","fl_m_fullcure","ros_km_hr_fullcure","ros_two3rdcured","intensity_BTU_ft_two3rdcured","intensity_kW_m_two3rdcured","fl_m_two3rdcured","ros_km_hr_two3rdcured","ros_one3rdcured","intensity_BTU_ft_one3rdcured","intensity_kW_m_one3rdcured","fl_m_one3rdcured","ros_km_hr_one3rdcured","ros_uncured","intensity_BTU_ft_uncured","intensity_kW_m_uncured","fl_m_uncured","ros_km_hr_uncured"
"1","201A",8.87,98.8302058665374,0.0950271235679526,1.13721025287162,0.5322,6.16,68.6351824281703,0.065994033954745,0.961618985257769,0.3696,3.25,36.2117439759015,0.0348182809014483,0.716575981952593,0.195,1.36,15.1532220945311,0.014570111392606,0.479980727091784,0.0816
"2","201G",11.88,321.531399624555,0.309158559118661,1.95665503323183,0.7128,8.7,235.464913866467,0.226403995314171,1.69542099904696,0.522,5.05,136.677909773064,0.131418411073168,1.32011794795676,0.303,2.65,71.7220714650733,0.0689621365037417,0.981277416009141,0.159
"3","202A",8.99,165.359182941041,0.158996000996436,1.44101509671188,0.5394,5.75,105.76365983437,0.101693771493827,1.17323843267115,0.345,2.68,49.2950623228018,0.0473981404527751,0.825811787737492,0.1608,0.87,16.0025015749394,0.0153867097738486,0.492173162672302,0.0522
"4","202G",12.68,81.7457517505377,0.0786000958375389,1.04213862582733,0.7608,8.53,54.9914244820258,0.0528753010642119,0.868414748535723,0.5118,4.24,27.334541594817,0.0262826818888931,0.629620602039844,0.2544,0.76,4.899587644354,0.00471104675366952,0.285538641334941,0.0456
"5","203A",10.88,119.416716754077,0.11482144552439,1.24062766895392,0.6528,7.7,84.5136690263229,0.0812615009685481,1.0582247250469,0.462,4.2,46.0983649234488,0.0443244550737535,0.800731372576124,0.252,2.11,23.1589404734469,0.022267761953719,0.583394190838108,0.1266
"6","203G",14.75,234.699900145385,0.225668420064003,1.69288493714062,0.885,9.45,150.367054669416,0.144580784379988,1.37937307154872,0.567,4.39,69.8530550263214,0.0671650416326083,0.969430748793738,0.2634,0.42,6.68298020752961,0.0064258126391106,0.32936525638051,0.0252
"7","204A",1.68,25.1680747805135,0.0241995828215219,0.606153340029324,0.1008,1.1,16.4790965824791,0.0158449649426632,0.498862510712531,0.066,0.53,7.93992835337629,0.0076343921996468,0.356539074636499,0.0318,0.07,1.0486697825214,0.00100831595089675,0.140502913955142,0.0042
"8","204G",2.39,55.5923961301586,0.0534531467397037,0.872767539753762,0.1434,1.15,26.7494793094905,0.0257201333684767,0.623385300849972,0.069,0.55,12.7932292349737,0.012300933350141,0.444019852474392,0.033,NA,NA,NA,NA,NA
"9","205A",4.39,62.2605948113186,0.0598647466599342,0.919453153459874,0.2634,3.43,48.6455216862922,0.0467735947707459,0.820788423658287,0.2058,2.23,31.6266802800092,0.0304096549092604,0.67331170489099,0.1338,1.34,19.0043729036827,0.0182730661786587,0.532677232326574,0.0804
"10","205G",13.25,588.809813847774,0.566151840400856,2.58452074770588,0.795,9.67,429.720067917583,0.413184022390662,2.23592327590246,0.5802,5.57,247.522314198649,0.237997415172284,1.73481875516374,0.3342,2.91,129.315966663926,0.124339762684263,1.28691983266444,0.1746
